,grain0minZ
354,-0.57452273
355,-0.57452273
356,-0.57452273
357,-0.57452273
358,-0.57452273
359,-0.57452273
360,-0.57452273
361,-0.57452273
362,-0.57452273
363,-0.57452273
364,-0.57452273
365,-0.57452273
366,-0.57452273
367,-0.57452273
368,-0.57452273
369,-0.57452273
370,-0.57452273
371,-0.57452273
372,-0.57452273
373,-0.57452273
374,-0.57452273
375,-0.57452273
376,-0.57452273
377,-0.57452273
378,-0.57452273
379,-0.57452273
380,-0.57452273
381,-0.57452273
382,-0.57452273
383,-0.57452273
384,-0.57452273
385,-0.57452273
386,-0.57452273
387,-0.57452273
388,-0.57452273
389,-0.57452273
390,-0.57452273
391,-0.57452273
392,-0.57452273
393,-0.57452273
394,-0.57452273
395,-0.57452273
396,-0.57452273
397,-0.57452273
398,-0.57452273
399,-0.57452273
400,-0.57452273
401,-0.57452273
402,-0.57452273
403,-0.57452273
404,-0.57452273
405,-0.57452273
406,-0.57452273
407,-0.57452273
408,-0.57452273
409,-0.57452273
410,-0.57452273
411,-0.57452273
412,-0.57452273
413,-0.57452273
414,-0.57452273
415,-0.57452273
416,-0.57452273
417,-0.57452273
418,-0.57452273
419,-0.57452273
420,-0.57452273
421,-0.57452273
422,-0.57452273
423,-0.57452273
424,-0.57452273
425,-0.57452273
426,-0.57452273
427,-0.57452273
428,-0.57452273
429,-0.57452273
430,-0.57452273
431,-0.57452273
432,-0.57452273
433,-0.57452273
434,-0.57452273
435,-0.57452273
436,-0.57452273
437,-0.57452273
438,-0.57452273
439,-0.57452273
440,-0.57452273
441,-0.57452273
442,-0.57452273
443,-0.57452273
444,-0.57452273
445,-0.57452273
446,-0.57452273
447,-0.57452273
448,-0.57452273
449,-0.57452273
450,-0.57452273
451,-0.57452273
452,-0.57452273
453,-0.57452273
454,-0.57452273
455,-0.57452273
456,-0.57452273
457,-0.57452273
458,-0.57452273
459,-0.57452273
460,-0.57452273
461,-0.57452273
462,-0.57452273
463,-0.57452273
464,-0.57452273
465,-0.57452273
466,-0.57452273
467,-0.57452273
468,-0.57452273
469,-0.57452273
470,-0.57452273
471,-0.57452273
472,-0.57452273
473,-0.57452273
474,-0.57452273
475,-0.57452273
476,-0.57452273
477,-0.57452273
478,-0.57452273
479,-0.57452273
480,-0.57452273
481,-0.57452273
482,-0.57452273
483,-0.57452273
484,-0.57452273
485,-0.57452273
486,-0.57452273
487,-0.57452273
488,-0.57452273
489,-0.57452273
490,-0.57452273
491,-0.57452273
492,-0.57452273
493,-0.57452273
494,-0.57452273
495,-0.57452273
496,-0.57452273
497,-0.57452273
498,-0.57452273
499,-0.57452273
500,-0.57452273
501,-0.57452273
502,-0.57452273
503,-0.57452273
504,-0.57452273
505,-0.57452273
506,-0.57452273
507,-0.57452273
508,-0.57452273
509,-0.57452273
510,-0.57452273
511,-0.57452273
512,-0.57452273
513,-0.57452273
514,-0.57452273
515,-0.57452273
516,-0.57452273
517,-0.57452273
518,-0.57452273
519,-0.57452273
520,-0.57452273
521,-0.57452273
522,-0.57452273
523,-0.57452273
524,-0.57452273
525,-0.57452273
526,-0.57452273
527,-0.57452273
528,-0.57452273
529,-0.57452273
530,-0.57452273
531,-0.57452273
532,-0.57452273
533,-0.57452273
534,-0.57452273
535,-0.57452273
536,-0.57452273
537,-0.57452273
538,-0.57452273
539,-0.57452273
540,-0.57452273
541,-0.57452273
542,-0.57452273
543,-0.57452273
544,-0.57452273
545,-0.57452273
546,-0.57452273
547,-0.57452273
548,-0.57452273
549,-0.57452273
550,-0.57452273
551,-0.57452273
552,-0.57452273
553,-0.57452273
554,-0.57452273
555,-0.57452273
556,-0.57452273
557,-0.57452273
558,-0.57452273
559,-0.57452273
560,-0.57452273
561,-0.57452273
562,-0.57452273
563,-0.57452273
564,-0.57452273
565,-0.57452273
566,-0.57452273
567,-0.57452273
568,-0.57452273
569,-0.57452273
570,-0.57452273
571,-0.57452273
572,-0.57452273
573,-0.57452273
574,-0.57452273
575,-0.57452273
576,-0.57452273
577,-0.57452273
578,-0.57452273
579,-0.57452273
580,-0.57452273
581,-0.57452273
582,-0.57452273
583,-0.57452273
584,-0.57452273
585,-0.57452273
586,-0.57452273
587,-0.57452273
588,-0.57452273
589,-0.57452273
590,-0.57452273
591,-0.57452273
592,-0.57452273
593,-0.57452273
594,-0.57452273
595,-0.57452273
596,-0.57452273
597,-0.57452273
598,-0.57452273
599,-0.57452273
600,-0.57452273
601,-0.57452273
602,-0.57452273
603,-0.57452273
604,-0.57452273
605,-0.57452273
606,-0.57452273
607,-0.57452273
608,-0.57452273
609,-0.57452273
610,-0.57452273
611,-0.57452273
612,-0.57452273
613,-0.57452273
614,-0.57452273
615,-0.57452273
616,-0.57452273
617,-0.57452273
618,-0.57452273
619,-0.57452273
620,-0.57452273
621,-0.57452273
622,-0.57452273
623,-0.57452273
624,-0.57452273
625,-0.57452273
626,-0.57452273
627,-0.57452273
628,-0.57452273
629,-0.57452273
630,-0.57452273
631,-0.57452273
632,-0.57452273
633,-0.57452273
634,-0.57452273
635,-0.57452273
636,-0.57452273
637,-0.57452273
638,-0.57452273
639,-0.57452273
640,-0.57452273
641,-0.57452273
642,-0.57452273
643,-0.57452273
644,-0.57452273
645,-0.57452273
646,-0.57452273
647,-0.57452273
648,-0.57452273
649,-0.57452273
650,-0.57452273
651,-0.57452273
652,-0.57452273
653,-0.57452273
654,-0.57452273
655,-0.57452273
656,-0.57452273
657,-0.57452273
658,-0.57452273
659,-0.57452273
660,-0.57452273
661,-0.57452273
662,-0.57452273
663,-0.57452273
664,-0.57452273
665,-0.57452273
666,-0.57452273
667,-0.57452273
668,-0.57452273
669,-0.57452273
670,-0.57452273
671,-0.57452273
672,-0.57452273
673,-0.57452273
674,-0.57452273
675,-0.57452273
676,-0.57452273
677,-0.57452273
678,-0.57452273
679,-0.57452273
680,-0.57452273
681,-0.57452273
682,-0.57452273
683,-0.57452273
684,-0.57452273
685,-0.57452273
686,-0.57452273
687,-0.57452273
688,-0.57452273
689,-0.57452273
690,-0.57452273
691,-0.57452273
692,-0.57452273
693,-0.57452273
694,-0.57452273
695,-0.57452273
696,-0.57452273
697,-0.57452273
698,-0.57452273
699,-0.57452273
700,-0.57452273
701,-0.57452273
702,-0.57452273
703,-0.57452273
704,-0.57452273
705,-0.57452273
706,-0.57452273
707,-0.57452273
708,-0.57452273
709,-0.57452273
710,-0.57452273
711,-0.57452273
712,-0.57452273
713,-0.57452273
714,-0.57452273
715,-0.57452273
716,-0.57452273
717,-0.57452273
718,-0.57452273
719,-0.57452273
720,-0.57452273
721,-0.57452273
722,-0.57452273
723,-0.57452273
724,-0.57452273
725,-0.57452273
726,-0.57452273
727,-0.57452273
728,-0.57452273
729,-0.57452273
730,-0.57452273
731,-0.57452273
732,-0.57452273
733,-0.57452273
734,-0.57452273
735,-0.57452273
736,-0.57452273
737,-0.57452273
738,-0.57452273
739,-0.57452273
740,-0.57452273
741,-0.57452273
742,-0.57452273
743,-0.57452273
744,-0.57452273
745,-0.57452273
746,-0.57452273
747,-0.57452273
748,-0.57452273
749,-0.57452273
750,-0.57452273
751,-0.57452273
752,-0.57452273
753,-0.57452273
754,-0.57452273
755,-0.57452273
756,-0.57452273
757,-0.57452273
758,-0.57452273
759,-0.57452273
760,-0.57452273
761,-0.57452273
762,-0.57452273
